FID	IID	Population
GB38	HG02645	GWD
GB38	HG02646	GWD
PK11	HG02648	PJL
PK11	HG02649	PJL
PK12	HG02651	PJL
PK12	HG02652	PJL
PK13	HG02654	PJL
PK13	HG02655	PJL
PK14	HG02657	PJL
PK14	HG02658	PJL
PK15	HG02660	PJL
PK15	HG02661	PJL
GB40	HG02666	GWD
GB40	HG02667	GWD
GB43	HG02675	GWD
GB43	HG02676	GWD
GB44	HG02678	GWD
GB44	HG02679	GWD
PK16	HG02681	PJL
PK16	HG02682	PJL
PK17	HG02684	PJL
PK17	HG02685	PJL
PK18	HG02687	PJL
PK18	HG02688	PJL
PK19	HG02690	PJL
PK19	HG02691	PJL
PK20	HG02694	PJL
PK21	HG02696	PJL
PK21	HG02697	PJL
PK22	HG02699	PJL
PK22	HG02700	PJL
GB45	HG02702	GWD
GB45	HG02703	GWD
GB50	HG02715	GWD
GB50	HG02716	GWD
GB52	HG02721	GWD
GB52	HG02722	GWD
PK23	HG02724	PJL
PK23	HG02725	PJL
PK24	HG02727	PJL
PK24	HG02728	PJL
PK25	HG02731	PJL
PK26	HG02733	PJL
PK26	HG02734	PJL
PK27	HG02736	PJL
PK27	HG02737	PJL
GB53	HG02756	GWD
GB53	HG02757	GWD
GB54	HG02759	GWD
GB54	HG02760	GWD
GB55	HG02763	GWD
GB57	HG02768	GWD
GB57	HG02769	GWD
GB58	HG02771	GWD
GB58	HG02772	GWD
PK28	HG02774	PJL
PK28	HG02775	PJL
PK29	HG02778	PJL
PK30	HG02780	PJL
PK31	HG02783	PJL
PK31	HG02784	PJL
PK32	HG02786	PJL
PK32	HG02787	PJL
PK33	HG02789	PJL
PK33	HG02790	PJL
PK34	HG02792	PJL
PK34	HG02793	PJL
GB60	HG02798	GWD
GB60	HG02799	GWD
GB62	HG02804	GWD
GB62	HG02805	GWD
GB63	HG02807	GWD
GB63	HG02808	GWD
GB64	HG02810	GWD
GB64	HG02811	GWD
GB65	HG02813	GWD
GB65	HG02814	GWD
GB66	HG02816	GWD
GB66	HG02817	GWD
GB67	HG02819	GWD
GB67	HG02820	GWD
GB73	HG02836	GWD
GB73	HG02837	GWD
GB74	HG02839	GWD
GB74	HG02840	GWD
GB78	HG02851	GWD
GB78	HG02852	GWD
GB79	HG02854	GWD
GB79	HG02855	GWD
GB81	HG02860	GWD
GB81	HG02861	GWD
GB84	HG02870	GWD
GB87	HG02878	GWD
GB87	HG02879	GWD
GB88	HG02881	GWD
GB88	HG02882	GWD
GB89	HG02884	GWD
GB89	HG02885	GWD
GB90	HG02887	GWD
GB90	HG02888	GWD
GB91	HG02890	GWD
GB91	HG02891	GWD
GB93	HG02895	GWD
GB93	HG02896	GWD
NG06	HG02922	ESN
NG06	HG02923	ESN
NG11	HG02938	ESN
NG12	HG02941	ESN
NG13	HG02943	ESN
NG13	HG02944	ESN
NG14	HG02946	ESN
NG14	HG02947	ESN
NG16	HG02952	ESN
NG16	HG02953	ESN
NG21	HG02968	ESN
NG22	HG02970	ESN
NG22	HG02971	ESN
NG23	HG02973	ESN
NG23	HG02974	ESN
NG24	HG02976	ESN
NG24	HG02977	ESN
NG25	HG02979	ESN
NG25	HG02981	ESN
GB97	HG02982	GWD
GB97	HG02983	GWD
BD01	HG03006	BEB
BD01	HG03007	BEB
HG03009	HG03009	BEB
BD3	HG03012	BEB
PK35	HG03015	PJL
PK35	HG03016	PJL
PK36	HG03018	PJL
PK36	HG03019	PJL
PK37	HG03021	PJL
HG03022	HG03022	PJL
GB105	HG03024	GWD
GB105	HG03025	GWD
GB106	HG03027	GWD
GB106	HG03028	GWD
GB110	HG03039	GWD
GB110	HG03040	GWD
GB112	HG03045	GWD
GB112	HG03046	GWD
GB113	HG03048	GWD
GB113	HG03049	GWD
SL01	HG03052	MSL
SL02	HG03054	MSL
SL02	HG03055	MSL
HG03057	HG03057	MSL
SL03	HG03058	MSL
HG03060	HG03060	MSL
SL04	HG03061	MSL
SL05	HG03063	MSL
SL05	HG03064	MSL
SL06	HG03066	MSL
SL07	HG03069	MSL
SL08	HG03072	MSL
SL08	HG03073	MSL
HG03074	HG03074	MSL
HG03077	HG03077	MSL
HG03078	HG03078	MSL
SL10	HG03079	MSL
SL11	HG03081	MSL
SL11	HG03082	MSL
HG03084	HG03084	MSL
HG03085	HG03085	MSL
HG03086	HG03086	MSL
SL13	HG03088	MSL
SL14	HG03091	MSL
SL15	HG03095	MSL
SL16	HG03096	MSL
SL16	HG03097	MSL
NG26	HG03099	ESN
NG26	HG03100	ESN
NG27	HG03103	ESN
NG28	HG03105	ESN
NG29	HG03108	ESN
NG29	HG03109	ESN
NG30	HG03111	ESN
NG30	HG03112	ESN
NG31	HG03114	ESN
NG31	HG03115	ESN
NG32	HG03117	ESN
NG32	HG03118	ESN
NG33	HG03120	ESN
NG33	HG03121	ESN
NG34	HG03123	ESN
NG34	HG03124	ESN
NG35	HG03126	ESN
NG35	HG03127	ESN
NG36	HG03129	ESN
NG36	HG03130	ESN
NG37	HG03132	ESN
NG37	HG03133	ESN
NG38	HG03135	ESN
NG38	HG03136	ESN
NG39	HG03139	ESN
NG45	HG03157	ESN
NG46	HG03159	ESN
NG46	HG03160	ESN
NG47	HG03162	ESN
NG47	HG03163	ESN
NG48	HG03166	ESN
NG49	HG03168	ESN
NG49	HG03169	ESN
NG50	HG03172	ESN
NG51	HG03175	ESN
NG56	HG03189	ESN
NG56	HG03190	ESN
NG57	HG03193	ESN
NG58	HG03195	ESN
NG58	HG03196	ESN
NG59	HG03198	ESN
NG59	HG03199	ESN
NG60	HG03202	ESN
SL17	HG03209	MSL
SL18	HG03212	MSL
SL22	HG03224	MSL
SL23	HG03225	MSL
PK38	HG03228	PJL
PK38	HG03229	PJL
PK40	HG03234	PJL
PK40	HG03235	PJL
PK41	HG03237	PJL
PK41	HG03238	PJL
GB114	HG03240	GWD
GB114	HG03241	GWD
GB116	HG03246	GWD
GB116	HG03247	GWD
GB120	HG03258	GWD
GB120	HG03259	GWD
NG63	HG03265	ESN
NG64	HG03267	ESN
NG64	HG03268	ESN
NG65	HG03270	ESN
NG65	HG03271	ESN
NG68	HG03279	ESN
NG68	HG03280	ESN
NG72	HG03291	ESN
NG73	HG03294	ESN
NG73	HG03295	ESN
NG74	HG03297	ESN
NG74	HG03298	ESN
NG75	HG03300	ESN
NG75	HG03301	ESN
NG76	HG03303	ESN
NG76	HG03304	ESN
NG78	HG03311	ESN
NG79	HG03313	ESN
NG89	HG03342	ESN
NG89	HG03343	ESN
NG92	HG03351	ESN
NG92	HG03352	ESN
NG93	HG03354	ESN
NG96	HG03363	ESN
NG97	HG03366	ESN
NG97	HG03367	ESN
NG98	HG03369	ESN
NG98	HG03370	ESN
NG99	HG03372	ESN
SL24	HG03376	MSL
HG03378	HG03378	MSL
SL25	HG03380	MSL
SL26	HG03382	MSL
SL27	HG03385	MSL
SL28	HG03388	MSL
SL29	HG03391	MSL
SL30	HG03394	MSL
HG03397	HG03397	MSL
SL32	HG03401	MSL
SL35	HG03410	MSL
SL38	HG03419	MSL
SL42	HG03428	MSL
HG03432	HG03432	MSL
HG03433	HG03433	MSL
HG03436	HG03436	MSL
HG03437	HG03437	MSL
SL46	HG03439	MSL
HG03442	HG03442	MSL
HG03445	HG03445	MSL
HG03446	HG03446	MSL
SL49	HG03449	MSL
SL50	HG03451	MSL
SL50	HG03452	MSL
SL51	HG03455	MSL
HG03457	HG03457	MSL
SL52	HG03458	MSL
HG03460	HG03460	MSL
HG03461	HG03461	MSL
SL54	HG03464	MSL
SL56i	HG03469	MSL
SL56	HG03470	MSL
HG03472	HG03472	MSL
SL57	HG03473	MSL
SL58	HG03476	MSL
SL59	HG03478	MSL
SL59	HG03479	MSL
SL61	HG03484	MSL
SL61	HG03485	MSL
PK42	HG03488	PJL
PK43	HG03490	PJL
PK43	HG03491	PJL
NG102	HG03499	ESN
NG106	HG03511	ESN
NG107	HG03514	ESN
NG107	HG03515	ESN
NG108	HG03517	ESN
NG108	HG03518	ESN
NG109	HG03520	ESN
NG109	HG03521	ESN
GB125	HG03538	GWD
GB125	HG03539	GWD
HG03547	HG03547	MSL
HG03548	HG03548	MSL
HG03556	HG03556	MSL
HG03557	HG03557	MSL
HG03558	HG03558	MSL
SL66	HG03559	MSL
SL67	HG03563	MSL
HG03565	HG03565	MSL
HG03567	HG03567	MSL
SL70	HG03571	MSL
SL70	HG03572	MSL
SL71	HG03575	MSL
SL72	HG03577	MSL
SL72	HG03578	MSL
SL73	HG03583	MSL
BD4	HG03585	BEB
BD05	HG03589	BEB
BD6	HG03593	BEB
BD7	HG03594	BEB
BD7	HG03595	BEB
BD8	HG03598	BEB
BD09	HG03600	BEB
BD10	HG03603	BEB
BD10	HG03604	BEB
BD11	HG03607	BEB
BD12	HG03611	BEB
BD14	HG03615	BEB
BD14	HG03616	BEB
PK44	HG03619	PJL
PK46	HG03624	PJL
PK46	HG03625	PJL
PK47	HG03629	PJL
PK48	HG03631	PJL
PK49	HG03634	PJL
PK50	HG03636	PJL
PK51	HG03640	PJL
ST006	HG03642	STU
ST004	HG03643	STU
ST004	HG03644	STU
ST002	HG03645	STU
ST001	HG03646	STU
PK52	HG03649	PJL
PK53	HG03652	PJL
PK53	HG03653	PJL
PK55	HG03660	PJL
PK56	HG03663	PJL
PK58	HG03667	PJL
PK58	HG03668	PJL
ST008	HG03672	STU
ST010	HG03673	STU
ST006	HG03679	STU
ST009	HG03680	STU
ST011	HG03681	STU
ST012	HG03684	STU
ST013	HG03685	STU
ST014	HG03686	STU
ST015	HG03687	STU
ST017	HG03689	STU
ST018	HG03690	STU
ST019	HG03691	STU
ST020	HG03692	STU
ST021	HG03693	STU
ST022	HG03694	STU
ST023	HG03695	STU
ST024	HG03696	STU
ST025	HG03697	STU
ST026	HG03698	STU
PK60	HG03702	PJL
PK60	HG03703	PJL
PK61	HG03705	PJL
PK61	HG03706	PJL
PK62	HG03708	PJL
PK62	HG03709	PJL
ST027	HG03711	STU
IT001	HG03713	ITU
IT009	HG03714	ITU
IT009	HG03716	ITU
IT010	HG03717	ITU
IT010	HG03718	ITU
IT052	HG03720	ITU
IT002	HG03722	ITU
IT003	HG03727	ITU
IT013	HG03729	ITU
IT011	HG03730	ITU
IT013	HG03731	ITU
ST041	HG03733	STU
ST043	HG03736	STU
ST044	HG03738	STU
ST038	HG03740	STU
ST038	HG03741	STU
IT015	HG03742	ITU
ST046	HG03743	STU
ST047	HG03744	STU
ST049	HG03745	STU
ST050	HG03746	STU
ST051	HG03750	STU
ST053	HG03752	STU
ST054	HG03753	STU
ST051	HG03754	STU
ST052	HG03755	STU
ST052	HG03756	STU
ST046	HG03757	STU
ST058	HG03760	STU
PK63	HG03762	PJL
PK64	HG03765	PJL
PK65	HG03767	PJL
IT016	HG03770	ITU
IT016	HG03771	ITU
IT004	HG03772	ITU
IT004	HG03773	ITU
IT020	HG03774	ITU
IT020	HG03775	ITU
IT022	HG03777	ITU
IT21	HG03778	ITU
IT019	HG03779	ITU
IT039	HG03780	ITU
IT018	HG03781	ITU
IT029	HG03782	ITU
IT023	HG03784	ITU
IT024	HG03785	ITU
IT023	HG03786	ITU
IT027	HG03787	ITU
IT028	HG03788	ITU
IT028	HG03789	ITU
IT025	HG03790	ITU
IT026	HG03792	ITU
BD15	HG03793	BEB
BD16	HG03796	BEB
BD17	HG03800	BEB
BD18	HG03802	BEB
BD18	HG03803	BEB
BD19	HG03805	BEB
BD20	HG03808	BEB
BD20	HG03809	BEB
HG03812	HG03812	BEB
BD22	HG03814	BEB
BD22	HG03815	BEB
BD23	HG03817	BEB
BD24	HG03821	BEB
BD25	HG03823	BEB
BD25	HG03824	BEB
BD26	HG03826	BEB
BD27	HG03829	BEB
BD27	HG03830	BEB
BD28	HG03832	BEB
BD28	HG03833	BEB
ST074	HG03836	STU
ST079	HG03837	STU
ST078	HG03838	STU
ST075	HG03844	STU
ST080	HG03846	STU
ST084	HG03848	STU
ST082	HG03849	STU
ST082	HG03850	STU
ST089	HG03851	STU
ST094	HG03854	STU
ST092	HG03856	STU
ST091	HG03857	STU
ST090	HG03858	STU
IT032	HG03861	ITU
IT035	HG03862	ITU
IT033	HG03863	ITU
IT034	HG03864	ITU
IT030	HG03866	ITU
IT038	HG03867	ITU
IT5	HG03868	ITU
IT035	HG03869	ITU
IT037	HG03870	ITU
HG03871	HG03871	ITU
IT036	HG03872	ITU
IT030	HG03873	ITU
IT006	HG03874	ITU
IT40	HG03875	ITU
IT039a	HG03882	ITU
ST039	HG03884	STU
ST016	HG03885	STU
ST016	HG03886	STU
ST106	HG03887	STU
ST050	HG03888	STU
ST110	HG03890	STU
ST111	HG03894	STU
ST107	HG03895	STU
ST111	HG03896	STU
ST115	HG03897	STU
ST114	HG03898	STU
ST114	HG03899	STU
ST115	HG03900	STU
HG03902	HG03902	BEB
BD30	HG03905	BEB
BD31	HG03907	BEB
BD31	HG03908	BEB
BD32	HG03910	BEB
BD32	HG03911	BEB
BD33	HG03913	BEB
BD33	HG03914	BEB
HG03916	HG03916	BEB
BD34	HG03917	BEB
BD35	HG03919	BEB
BD35	HG03920	BEB
BD36	HG03922	BEB
BD37	HG03925	BEB
BD37	HG03926	BEB
BD38	HG03928	BEB
BD39	HG03931	BEB
BD40	HG03934	BEB
BD41	HG03937	BEB
BD42	HG03940	BEB
BD42	HG03941	BEB
ST116	HG03943	STU
ST116	HG03944	STU
ST117	HG03945	STU
ST118	HG03947	STU
ST123	HG03949	STU
ST090	HG03950	STU
ST013	HG03951	STU
ST122	HG03953	STU
ST119	HG03955	STU
IT044	HG03960	ITU
IT042	HG03963	ITU
IT45	HG03965	ITU
IT51	HG03967	ITU
IT046	HG03968	ITU
IT046	HG03969	ITU
IT048	HG03971	ITU
IT050	HG03973	ITU
IT049	HG03974	ITU
IT050	HG03976	ITU
IT047	HG03977	ITU
IT047	HG03978	ITU
ST144	HG03985	STU
ST106	HG03986	STU
ST145	HG03989	STU
ST142	HG03990	STU
ST143	HG03991	STU
ST021	HG03995	STU
ST147	HG03998	STU
ST007	HG03999	STU
IT053	HG04001	ITU
IT053	HG04002	ITU
ST152	HG04003	STU
ST078	HG04006	STU
IT059	HG04014	ITU
IT060	HG04015	ITU
IT061	HG04017	ITU
IT007	HG04018	ITU
IT056	HG04019	ITU
IT059	HG04020	ITU
IT062	HG04022	ITU
IT058	HG04023	ITU
IT058	HG04025	ITU
IT061	HG04026	ITU
ST154	HG04029	STU
ST076	HG04033	STU
ST094	HG04035	STU
ST170	HG04038	STU
ST172	HG04039	STU
ST171	HG04042	STU
ST173	HG04047	STU
IT180	HG04054	ITU
IT180	HG04056	ITU
IT184	HG04059	ITU
IT183	HG04060	ITU
IT182	HG04061	ITU
IT182	HG04062	ITU
IT183	HG04063	ITU
IT45	HG04070	ITU
ST190	HG04075	STU
IT191	HG04076	ITU
IT194	HG04080	ITU
IT199	HG04090	ITU
IT199	HG04093	ITU
IT201	HG04094	ITU
IT202	HG04096	ITU
IT205	HG04098	ITU
ST203	HG04099	STU
ST203	HG04100	STU
ST176	HG04106	STU
ST176	HG04107	STU
IT214	HG04118	ITU
BD44	HG04131	BEB
BD45	HG04134	BEB
BD47	HG04140	BEB
BD47	HG04141	BEB
BD48	HG04144	BEB
BD49	HG04146	BEB
BD51	HG04152	BEB
BD51	HG04153	BEB
BD52	HG04155	BEB
BD52	HG04156	BEB
BD53	HG04158	BEB
BD53	HG04159	BEB
BD54	HG04161	BEB
BD54	HG04162	BEB
BD55	HG04164	BEB
BD57	HG04171	BEB
BD58	HG04173	BEB
BD59	HG04176	BEB
BD59	HG04177	BEB
BD60	HG04180	BEB
BD61	HG04182	BEB
BD61	HG04183	BEB
BD62	HG04185	BEB
BD62	HG04186	BEB
BD63	HG04188	BEB
BD63	HG04189	BEB
BD65	HG04194	BEB
BD65	HG04195	BEB
IT220	HG04198	ITU
IT220	HG04200	ITU
IT222	HG04202	ITU
HG04206	HG04206	ITU
IT217	HG04209	ITU
ST186	HG04210	STU
IT223	HG04211	ITU
IT223	HG04212	ITU
IT226	HG04214	ITU
IT227	HG04216	ITU
IT228	HG04219	ITU
IT225	HG04222	ITU
IT231	HG04225	ITU
ST232	HG04227	STU
ST232	HG04229	STU
IT237	HG04235	ITU
IT240	HG04238	ITU
HG04239	HG04239	ITU
1328	NA06984	CEU
1341	NA06985	CEU
13291	NA06986	CEU
1328	NA06989	CEU
1340	NA06994	CEU
1340	NA07000	CEU
13291	NA07037	CEU
1341	NA07048	CEU
13292	NA07051	CEU
1340	NA07056	CEU
1345	NA07347	CEU
1345	NA07357	CEU
1334	NA10847	CEU
1344	NA10851	CEU
1350	NA11829	CEU
1350	NA11830	CEU
1350	NA11831	CEU
1350	NA11832	CEU
1349	NA11840	CEU
1349	NA11843	CEU
1347	NA11881	CEU
1377	NA11892	CEU
1377	NA11893	CEU
1377	NA11894	CEU
1423	NA11918	CEU
1423	NA11919	CEU
1423	NA11920	CEU
1424	NA11930	CEU
1424	NA11931	CEU
1424a	NA11932	CEU
1424a	NA11933	CEU
1362	NA11992	CEU
1362	NA11994	CEU
1362	NA11995	CEU
1420	NA12003	CEU
1420	NA12004	CEU
1420	NA12005	CEU
1420	NA12006	CEU
1346	NA12043	CEU
1346	NA12044	CEU
1346	NA12045	CEU
1346	NA12046	CEU
1344	NA12058	CEU
1334	NA12144	CEU
1408	NA12154	CEU
1408	NA12155	CEU
1408	NA12156	CEU
1375	NA12234	CEU
1416	NA12249	CEU
1418	NA12272	CEU
1418	NA12273	CEU
1418	NA12275	CEU
1421a	NA12282	CEU
1421a	NA12283	CEU
1421	NA12286	CEU
1421	NA12287	CEU
1330	NA12340	CEU
1330	NA12341	CEU
1330	NA12342	CEU
13281	NA12347	CEU
13281	NA12348	CEU
1353	NA12383	CEU
1354	NA12399	CEU
1354	NA12400	CEU
1355	NA12413	CEU
1355	NA12414	CEU
1353	NA12489	CEU
1353	NA12546	CEU
1358	NA12716	CEU
1358	NA12717	CEU
1358	NA12718	CEU
1444	NA12748	CEU
1444	NA12749	CEU
1444	NA12750	CEU
1444	NA12751	CEU
1447	NA12760	CEU
1447	NA12761	CEU
1447	NA12762	CEU
1447	NA12763	CEU
1451	NA12775	CEU
1451	NA12776	CEU
1451	NA12777	CEU
1451	NA12778	CEU
1454	NA12812	CEU
1454	NA12813	CEU
1454	NA12814	CEU
1454	NA12815	CEU
1456	NA12827	CEU
1456	NA12828	CEU
1456	NA12829	CEU
1456	NA12830	CEU
1458	NA12842	CEU
1458	NA12843	CEU
1459	NA12872	CEU
1459	NA12873	CEU
1459	NA12874	CEU
1463	NA12878	CEU
1463	NA12889	CEU
1463	NA12890	CEU
Y001	NA18486	YRI
Y001	NA18488	YRI
Y002	NA18489	YRI
Y003	NA18498	YRI
Y003	NA18499	YRI
Y004	NA18501	YRI
Y004	NA18502	YRI
Y005	NA18504	YRI
Y005	NA18505	YRI
Y009	NA18507	YRI
Y009	NA18508	YRI
Y010a	NA18510	YRI
Y010	NA18511	YRI
Y013	NA18516	YRI
Y013	NA18517	YRI
Y014	NA18519	YRI
Y014	NA18520	YRI
Y016	NA18522	YRI
Y016	NA18523	YRI
NA18525	NA18525	CHB
NA18526	NA18526	CHB
NA18528	NA18528	CHB
NA18530	NA18530	CHB
NA18531	NA18531	CHB
NA18532	NA18532	CHB
NA18533	NA18533	CHB
NA18534	NA18534	CHB
NA18535	NA18535	CHB
NA18536	NA18536	CHB
NA18537	NA18537	CHB
NA18538	NA18538	CHB
NA18539	NA18539	CHB
NA18541	NA18541	CHB
NA18542	NA18542	CHB
NA18543	NA18543	CHB
NA18544	NA18544	CHB
NA18545	NA18545	CHB
NA18546	NA18546	CHB
NA18547	NA18547	CHB
NA18548	NA18548	CHB
NA18549	NA18549	CHB
NA18550	NA18550	CHB
NA18552	NA18552	CHB
NA18553	NA18553	CHB
NA18555	NA18555	CHB
NA18557	NA18557	CHB
NA18558	NA18558	CHB
NA18559	NA18559	CHB
NA18560	NA18560	CHB
NA18561	NA18561	CHB
NA18562	NA18562	CHB
NA18563	NA18563	CHB
NA18564	NA18564	CHB
NA18565	NA18565	CHB
NA18566	NA18566	CHB
NA18567	NA18567	CHB
NA18570	NA18570	CHB
NA18571	NA18571	CHB
NA18572	NA18572	CHB
NA18573	NA18573	CHB
NA18574	NA18574	CHB
NA18577	NA18577	CHB
NA18579	NA18579	CHB
NA18582	NA18582	CHB
NA18591	NA18591	CHB
NA18592	NA18592	CHB
NA18593	NA18593	CHB
NA18595	NA18595	CHB
NA18596	NA18596	CHB
NA18597	NA18597	CHB
NA18599	NA18599	CHB
NA18602	NA18602	CHB
NA18603	NA18603	CHB
NA18605	NA18605	CHB
NA18606	NA18606	CHB
NA18608	NA18608	CHB
NA18609	NA18609	CHB
NA18610	NA18610	CHB
NA18611	NA18611	CHB
NA18612	NA18612	CHB
NA18613	NA18613	CHB
NA18614	NA18614	CHB
NA18615	NA18615	CHB
NA18616	NA18616	CHB
NA18617	NA18617	CHB
NA18618	NA18618	CHB
NA18619	NA18619	CHB
NA18620	NA18620	CHB
NA18621	NA18621	CHB
NA18622	NA18622	CHB
NA18623	NA18623	CHB
NA18624	NA18624	CHB
NA18625	NA18625	CHB
NA18626	NA18626	CHB
NA18627	NA18627	CHB
NA18628	NA18628	CHB
NA18629	NA18629	CHB
NA18630	NA18630	CHB
NA18631	NA18631	CHB
NA18632	NA18632	CHB
NA18633	NA18633	CHB
NA18634	NA18634	CHB
NA18635	NA18635	CHB
NA18636	NA18636	CHB
NA18637	NA18637	CHB
NA18638	NA18638	CHB
NA18639	NA18639	CHB
NA18640	NA18640	CHB
NA18641	NA18641	CHB
NA18642	NA18642	CHB
NA18643	NA18643	CHB
NA18644	NA18644	CHB
NA18645	NA18645	CHB
NA18646	NA18646	CHB
NA18647	NA18647	CHB
NA18648	NA18648	CHB
NA18740	NA18740	CHB
NA18745	NA18745	CHB
NA18747	NA18747	CHB
NA18748	NA18748	CHB
NA18749	NA18749	CHB
NA18757	NA18757	CHB
Y018	NA18853	YRI
Y023	NA18856	YRI
Y012	NA18858	YRI
Y024	NA18861	YRI
Y026	NA18864	YRI
Y026	NA18865	YRI
Y007	NA18867	YRI
Y007	NA18868	YRI
Y017	NA18870	YRI
Y017	NA18871	YRI
Y019	NA18873	YRI
Y019	NA18874	YRI
Y020	NA18876	YRI
Y020	NA18877	YRI
Y021	NA18878	YRI
Y021	NA18879	YRI
Y022	NA18881	YRI
Y025	NA18907	YRI
Y025a	NA18908	YRI
Y027	NA18909	YRI
Y027	NA18910	YRI
Y028	NA18912	YRI
Y029	NA18915	YRI
Y030	NA18916	YRI
Y030	NA18917	YRI
Y033	NA18923	YRI
Y033	NA18924	YRI
Y036	NA18933	YRI
Y036	NA18934	YRI
NA18939	NA18939	JPT
NA18940	NA18940	JPT
NA18941	NA18941	JPT
NA18942	NA18942	JPT
NA18943	NA18943	JPT
NA18944	NA18944	JPT
NA18945	NA18945	JPT
NA18946	NA18946	JPT
NA18947	NA18947	JPT
NA18948	NA18948	JPT
NA18949	NA18949	JPT
NA18950	NA18950	JPT
NA18951	NA18951	JPT
NA18952	NA18952	JPT
NA18953	NA18953	JPT
NA18954	NA18954	JPT
NA18956	NA18956	JPT
NA18957	NA18957	JPT
NA18959	NA18959	JPT
NA18960	NA18960	JPT
NA18961	NA18961	JPT
NA18962	NA18962	JPT
NA18963	NA18963	JPT
NA18964	NA18964	JPT
NA18965	NA18965	JPT
NA18966	NA18966	JPT
NA18967	NA18967	JPT
NA18968	NA18968	JPT
NA18969	NA18969	JPT
NA18970	NA18970	JPT
NA18971	NA18971	JPT
NA18972	NA18972	JPT
NA18973	NA18973	JPT
NA18974	NA18974	JPT
NA18975	NA18975	JPT
NA18976	NA18976	JPT
NA18977	NA18977	JPT
NA18978	NA18978	JPT
NA18979	NA18979	JPT
NA18980	NA18980	JPT
NA18981	NA18981	JPT
NA18982	NA18982	JPT
NA18983	NA18983	JPT
NA18984	NA18984	JPT
NA18985	NA18985	JPT
NA18986	NA18986	JPT
NA18987	NA18987	JPT
NA18988	NA18988	JPT
NA18989	NA18989	JPT
NA18990	NA18990	JPT
NA18991	NA18991	JPT
NA18992	NA18992	JPT
NA18993	NA18993	JPT
NA18994	NA18994	JPT
NA18995	NA18995	JPT
NA18997	NA18997	JPT
NA18998	NA18998	JPT
NA18999	NA18999	JPT
NA19000	NA19000	JPT
NA19001	NA19001	JPT
NA19002	NA19002	JPT
NA19003	NA19003	JPT
NA19004	NA19004	JPT
NA19005	NA19005	JPT
NA19006	NA19006	JPT
NA19007	NA19007	JPT
NA19009	NA19009	JPT
NA19010	NA19010	JPT
NA19011	NA19011	JPT
NA19012	NA19012	JPT
NA19017	NA19017	LWK
NA19019	NA19019	LWK
NA19020	NA19020	LWK
NA19023	NA19023	LWK
NA19024	NA19024	LWK
NA19025	NA19025	LWK
NA19026	NA19026	LWK
NA19027	NA19027	LWK
NA19028	NA19028	LWK
NA19030	NA19030	LWK
NA19031	NA19031	LWK
NA19035	NA19035	LWK
NA19036	NA19036	LWK
NA19037	NA19037	LWK
NA19038	NA19038	LWK
NA19041	NA19041	LWK
NA19042	NA19042	LWK
NA19043	NA19043	LWK
NA19054	NA19054	JPT
NA19055	NA19055	JPT
NA19056	NA19056	JPT
NA19057	NA19057	JPT
NA19058	NA19058	JPT
NA19059	NA19059	JPT
NA19060	NA19060	JPT
NA19062	NA19062	JPT
NA19063	NA19063	JPT
NA19064	NA19064	JPT
NA19065	NA19065	JPT
NA19066	NA19066	JPT
NA19067	NA19067	JPT
NA19068	NA19068	JPT
NA19070	NA19070	JPT
NA19072	NA19072	JPT
NA19074	NA19074	JPT
NA19075	NA19075	JPT
NA19076	NA19076	JPT
NA19077	NA19077	JPT
NA19078	NA19078	JPT
NA19079	NA19079	JPT
NA19080	NA19080	JPT
NA19081	NA19081	JPT
NA19082	NA19082	JPT
NA19083	NA19083	JPT
NA19084	NA19084	JPT
NA19085	NA19085	JPT
NA19086	NA19086	JPT
NA19087	NA19087	JPT
NA19088	NA19088	JPT
NA19089	NA19089	JPT
NA19090	NA19090	JPT
NA19091	NA19091	JPT
Y040	NA19092	YRI
Y040	NA19093	YRI
Y041	NA19095	YRI
Y041	NA19096	YRI
Y105	NA19098	YRI
Y105	NA19099	YRI
Y042	NA19102	YRI
Y006	NA19107	YRI
Y006	NA19108	YRI
Y079	NA19113	YRI
Y079	NA19114	YRI
Y060	NA19116	YRI
Y100	NA19117	YRI
Y100	NA19118	YRI
Y060	NA19119	YRI
Y061	NA19121	YRI
Y077	NA19129	YRI
Y101	NA19130	YRI
Y101	NA19131	YRI
Y043	NA19137	YRI
Y043	NA19138	YRI
Y071	NA19141	YRI
Y074	NA19143	YRI
Y074	NA19144	YRI
Y075	NA19146	YRI
Y075	NA19147	YRI
Y073	NA19149	YRI
Y072	NA19152	YRI
Y072	NA19153	YRI
Y056	NA19159	YRI
Y056	NA19160	YRI
Y047	NA19171	YRI
Y047	NA19172	YRI
Y044	NA19175	YRI
Y039	NA19184	YRI
Y039	NA19185	YRI
Y111	NA19189	YRI
Y111	NA19190	YRI
Y035	NA19197	YRI
Y035	NA19198	YRI
Y045	NA19200	YRI
Y045	NA19201	YRI
Y048	NA19204	YRI
Y051	NA19206	YRI
Y051	NA19207	YRI
Y050	NA19209	YRI
Y050	NA19210	YRI
Y110	NA19213	YRI
Y110	NA19214	YRI
Y058	NA19222	YRI
Y058	NA19223	YRI
Y057	NA19225	YRI
Y116	NA19235	YRI
Y116	NA19236	YRI
Y117	NA19238	YRI
Y117	NA19239	YRI
Y120	NA19247	YRI
Y120	NA19248	YRI
Y092	NA19256	YRI
Y092	NA19257	YRI
NA19307	NA19307	LWK
