FID	IID	Population
SH045	HG00557	CHS
SH046	HG00559	CHS
SH046	HG00560	CHS
SH048	HG00565	CHS
SH048	HG00566	CHS
SH053	HG00580	CHS
SH053	HG00581	CHS
SH054	HG00583	CHS
SH054	HG00584	CHS
SH056	HG00589	CHS
SH056	HG00590	CHS
SH057	HG00592	CHS
SH057	HG00593	CHS
SH058	HG00595	CHS
SH058	HG00596	CHS
SH059	HG00598	CHS
SH059	HG00599	CHS
SH062	HG00607	CHS
SH062	HG00608	CHS
SH063	HG00610	CHS
SH063	HG00611	CHS
SH064	HG00613	CHS
SH064	HG00614	CHS
SH066	HG00619	CHS
SH066	HG00620	CHS
SH067	HG00622	CHS
SH067	HG00623	CHS
SH068	HG00625	CHS
SH068	HG00626	CHS
SH069	HG00628	CHS
SH069	HG00629	CHS
SH070	HG00631	CHS
SH070	HG00632	CHS
SH071	HG00634	CHS
PR03	HG00637	PUR
PR03	HG00638	PUR
PR04	HG00640	PUR
PR04	HG00641	PUR
SH072	HG00650	CHS
SH072	HG00651	CHS
SH073	HG00653	CHS
SH073	HG00654	CHS
SH074	HG00656	CHS
SH074	HG00657	CHS
SH076	HG00662	CHS
SH076	HG00663	CHS
SH079	HG00671	CHS
SH079	HG00672	CHS
SH080	HG00674	CHS
SH080	HG00675	CHS
SH083	HG00683	CHS
SH083	HG00684	CHS
SH085	HG00689	CHS
SH085	HG00690	CHS
SH086	HG00692	CHS
SH086	HG00693	CHS
SH088	HG00698	CHS
SH088	HG00699	CHS
SH089	HG00701	CHS
SH090	HG00704	CHS
SH090	HG00705	CHS
SH091	HG00707	CHS
SH091	HG00708	CHS
SH094	HG00717	CHS
SH098	HG00728	CHS
SH098	HG00729	CHS
PR05	HG00731	PUR
PR05	HG00732	PUR
PR06	HG00734	PUR
PR07	HG00736	PUR
PR07	HG00737	PUR
PR09	HG00739	PUR
PR09	HG00740	PUR
PR10	HG00742	PUR
PR10	HG00743	PUR
HG00759	HG00759	CDX
HG00766	HG00766	CDX
HG00844	HG00844	CDX
HG00851	HG00851	CDX
HG00864	HG00864	CDX
CDX1	HG00867	CDX
HG00879	HG00879	CDX
HG00881	HG00881	CDX
HG00956	HG00956	CDX
HG00978	HG00978	CDX
HG00982	HG00982	CDX
HG01028	HG01028	CDX
HG01029	HG01029	CDX
HG01031	HG01031	CDX
HG01046	HG01046	CDX
PR06	HG01047	PUR
PR08	HG01048	PUR
PR08	HG01049	PUR
PR11	HG01051	PUR
PR11	HG01052	PUR
PR12	HG01054	PUR
PR12	HG01055	PUR
PR13	HG01058	PUR
PR14	HG01060	PUR
PR14	HG01061	PUR
PR15	HG01063	PUR
PR15	HG01064	PUR
PR16	HG01066	PUR
PR16	HG01067	PUR
PR17	HG01069	PUR
PR17	HG01070	PUR
PR18	HG01072	PUR
PR18	HG01073	PUR
PR01	HG01075	PUR
PR20	HG01077	PUR
PR21	HG01079	PUR
PR21	HG01080	PUR
PR28	HG01082	PUR
PR28	HG01083	PUR
PR26	HG01085	PUR
PR26	HG01086	PUR
PR27	HG01088	PUR
PR27	HG01089	PUR
PR30	HG01092	PUR
PR29	HG01094	PUR
PR29	HG01095	PUR
PR31	HG01097	PUR
PR31	HG01098	PUR
PR19	HG01101	PUR
PR19	HG01102	PUR
PR25	HG01104	PUR
PR25	HG01105	PUR
PR33	HG01107	PUR
PR33	HG01108	PUR
PR34	HG01110	PUR
PR34	HG01111	PUR
CLM03	HG01112	CLM
CLM03	HG01113	CLM
CLM01	HG01119	CLM
CLM02	HG01121	CLM
CLM02	HG01122	CLM
CLM04	HG01124	CLM
CLM04	HG01125	CLM
CLM06	HG01130	CLM
CLM06	HG01131	CLM
CLM07	HG01133	CLM
CLM07	HG01134	CLM
CLM08	HG01136	CLM
CLM08	HG01137	CLM
CLM09	HG01139	CLM
CLM09	HG01140	CLM
CLM10	HG01142	CLM
CLM12	HG01148	CLM
CLM12	HG01149	CLM
PR35	HG01161	PUR
PR35	HG01162	PUR
PR37	HG01164	PUR
PR39	HG01167	PUR
PR39	HG01168	PUR
PR24	HG01170	PUR
PR24	HG01171	PUR
PR36	HG01173	PUR
PR36	HG01174	PUR
PR42	HG01176	PUR
PR42	HG01177	PUR
PR44	HG01182	PUR
PR44	HG01183	PUR
PR38	HG01187	PUR
PR38	HG01188	PUR
PR40	HG01190	PUR
PR40	HG01191	PUR
PR46	HG01197	PUR
PR46	HG01198	PUR
PR47	HG01200	PUR
PR49	HG01204	PUR
PR49	HG01205	PUR
PR22	HG01241	PUR
PR22	HG01242	PUR
PR32	HG01247	PUR
PR32	HG01248	PUR
CLM14	HG01250	CLM
CLM14	HG01251	CLM
CLM15	HG01253	CLM
CLM15	HG01254	CLM
CLM16	HG01256	CLM
CLM16	HG01257	CLM
CLM17	HG01259	CLM
CLM17	HG01260	CLM
CLM20	HG01269	CLM
CLM21	HG01271	CLM
CLM21	HG01272	CLM
CLM22	HG01275	CLM
CLM23	HG01277	CLM
CLM24	HG01280	CLM
CLM24	HG01281	CLM
CLM25	HG01284	CLM
PR58	HG01286	PUR
PR59	HG01302	PUR
PR59	HG01303	PUR
PR61	HG01305	PUR
PR62	HG01308	PUR
PR63	HG01311	PUR
PR63	HG01312	PUR
PR67	HG01323	PUR
PR68	HG01325	PUR
PR68	HG01326	PUR
HG01334	HG01334	GBR
CLM26	HG01341	CLM
CLM26	HG01342	CLM
CLM27	HG01344	CLM
CLM27	HG01345	CLM
CLM28	HG01348	CLM
CLM29	HG01350	CLM
CLM29	HG01351	CLM
CLM30	HG01353	CLM
CLM30	HG01354	CLM
CLM31	HG01356	CLM
CLM31	HG01357	CLM
CLM32	HG01359	CLM
CLM32	HG01360	CLM
